timestamp,entity_type,entity_id,event_type,details
2.040120574549602,Order,O-1,CREATED,"{""location"": ""3""}"
2.1000000000000005,Order,O-1,ASSIGNED_WAREHOUSE,"{""dist"": ""1.0"", ""warehouse_id"": ""W2""}"
2.1000000000000005,Dispatcher,W2,DISPATCHED,"{""dist"": ""0"", ""driver"": ""D2"", ""order"": ""O-1""}"
2.1000000000000005,Driver,D2,ARRIVED_AT_WAREHOUSE,"{""warehouse"": ""W2""}"
4.0401205745496025,Order,O-1,PICKED_UP,"{""driver"": ""D2""}"
4.746230496595352,Order,O-2,CREATED,"{""location"": ""31""}"
4.799999999999999,Order,O-2,ASSIGNED_WAREHOUSE,"{""dist"": ""4.0"", ""warehouse_id"": ""W1""}"
4.799999999999999,Dispatcher,W1,DISPATCHED,"{""dist"": ""0"", ""driver"": ""D1"", ""order"": ""O-2""}"
4.799999999999999,Driver,D1,ARRIVED_AT_WAREHOUSE,"{""warehouse"": ""W1""}"
5.0401205745496025,Order,O-1,DELIVERED,"{""driver"": ""D2""}"
5.251402867935579,Order,O-3,CREATED,"{""location"": ""94""}"
5.299999999999997,Order,O-3,ASSIGNED_WAREHOUSE,"{""dist"": ""11.0"", ""warehouse_id"": ""W2""}"
5.299999999999997,Dispatcher,W2,DISPATCHED,"{""dist"": ""0"", ""driver"": ""D4"", ""order"": ""O-3""}"
5.299999999999997,Driver,D4,ARRIVED_AT_WAREHOUSE,"{""warehouse"": ""W2""}"
5.4676764357253385,Order,O-4,CREATED,"{""location"": ""94""}"
5.4999999999999964,Order,O-4,ASSIGNED_WAREHOUSE,"{""dist"": ""11.0"", ""warehouse_id"": ""W2""}"
5.4999999999999964,Dispatcher,W2,DISPATCHED,"{""dist"": ""0"", ""driver"": ""D6"", ""order"": ""O-4""}"
5.4999999999999964,Driver,D6,ARRIVED_AT_WAREHOUSE,"{""warehouse"": ""W2""}"
6.0401205745496025,Driver,D2,RETURNED_TO_STAGING,"{""location"": ""2""}"
6.746230496595352,Order,O-2,PICKED_UP,"{""driver"": ""D1""}"
7.251402867935579,Order,O-3,PICKED_UP,"{""driver"": ""D4""}"
7.4676764357253385,Order,O-4,PICKED_UP,"{""driver"": ""D6""}"
9.9222526348281,Order,O-5,CREATED,"{""location"": ""11""}"
